,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,,,Tackles,,,,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,9/7/17,,1,,KAN,@,NWE,W 42-27,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,9/17/17,,2,,KAN,,PHI,W 27-20,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017,9/24/17,,3,,KAN,@,LAC,W 24-10,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017,10/2/17,,4,,KAN,,WAS,W 29-20,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017,10/8/17,,5,,KAN,@,HOU,W 42-34,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017,10/15/17,,6,,KAN,,PIT,L 13-19,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017,10/19/17,,7,,KAN,@,OAK,L 30-31,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017,10/30/17,,8,,KAN,,DEN,W 29-19,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017,11/5/17,,9,,KAN,@,DAL,L 17-28,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2017,11/19/17,,11,,KAN,@,NYG,L 9-12,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2017,11/26/17,,12,,KAN,,BUF,L 10-16,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2017,12/3/17,,13,,KAN,@,NYJ,L 31-38,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2017,12/10/17,,14,,KAN,,OAK,W 26-15,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017,12/16/17,,15,,KAN,,LAC,W 30-13,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2017,12/24/17,,16,,KAN,,MIA,W 29-13,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2017,12/31/17,16,17,22.105,KAN,@,DEN,W 27-24,*,22,35,62.86,284,0,1,76.4,2,15,8.11,6.83,7,10,1.43,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,94%,0,0%,0,0%,
17,2018,9/9/18,1,1,22.357,KAN,@,LAC,W 38-28,*,15,27,55.56,256,4,0,127.5,1,0,9.48,12.44,5,21,4.2,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,
18,2018,9/16/18,2,2,22.364,KAN,@,PIT,W 42-37,*,23,28,82.14,326,6,0,154.8,1,4,11.64,15.93,5,18,3.6,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,1,0,0,1,-2,0,58,100%,0,0%,0,0%,
19,2018,9/23/18,3,3,23.006,KAN,,SFO,W 38-27,*,24,38,63.16,314,3,0,115.5,2,7,8.26,9.84,5,7,1.4,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,1,0,0,1,0,0,75,100%,0,0%,0,0%,
