Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps,Class
1.0,2014.0,2014-09-07,1.0,OAK,Away,NYJ,L 14-19,Start,32.0,62.5,151.0,2.0,0.0,2.0,1.0,-1.0,0.0,52.0,0
2.0,2014.0,2014-09-14,2.0,OAK,Home,HOU,L 14-30,Start,42.0,64.29,263.0,1.0,2.0,0.0,4.0,58.0,0.0,62.0,0
3.0,2014.0,2014-09-21,3.0,OAK,Away,NWE,L 9-16,Start,34.0,61.76,174.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,0
4.0,2014.0,2014-09-28,4.0,OAK,Home,MIA,L 14-38,Start,25.0,64.0,146.0,1.0,1.0,1.0,2.0,9.0,0.0,41.0,0
5.0,2014.0,2014-10-12,6.0,OAK,Home,SDG,L 28-31,Start,34.0,52.94,282.0,4.0,1.0,0.0,1.0,2.0,0.0,58.0,0
6.0,2014.0,2014-10-19,7.0,OAK,Home,ARI,L 13-24,Start,28.0,57.14,173.0,0.0,0.0,1.0,2.0,2.0,0.0,51.0,0
7.0,2014.0,2014-10-26,8.0,OAK,Away,CLE,L 13-23,Start,54.0,62.96,328.0,1.0,0.0,4.0,1.0,2.0,0.0,82.0,0
8.0,2014.0,2014-11-02,9.0,OAK,Away,SEA,L 24-30,Start,41.0,58.54,194.0,2.0,2.0,1.0,2.0,9.0,0.0,61.0,0
9.0,2014.0,2014-11-09,10.0,OAK,Home,DEN,L 17-41,Start,47.0,63.83,192.0,2.0,2.0,0.0,0.0,0.0,0.0,63.0,0
10.0,2014.0,2014-11-16,11.0,OAK,Away,SDG,L 6-13,Start,34.0,47.06,172.0,0.0,0.0,2.0,2.0,0.0,0.0,58.0,0
11.0,2014.0,2014-11-20,12.0,OAK,Home,KAN,W 24-20,Start,35.0,51.43,174.0,1.0,0.0,1.0,3.0,2.0,0.0,69.0,1
12.0,2014.0,2014-11-30,13.0,OAK,Away,STL,L 0-52,Start,39.0,61.54,173.0,0.0,2.0,3.0,1.0,1.0,0.0,59.0,0
13.0,2014.0,2014-12-07,14.0,OAK,Home,SFO,W 24-13,Start,28.0,78.57,254.0,3.0,0.0,1.0,2.0,2.0,0.0,63.0,1
14.0,2014.0,2014-12-14,15.0,OAK,Away,KAN,L 13-31,Start,56.0,48.21,222.0,1.0,0.0,4.0,1.0,0.0,0.0,81.0,0
15.0,2014.0,2014-12-21,16.0,OAK,Home,BUF,W 26-24,Start,34.0,50.0,214.0,2.0,0.0,1.0,4.0,0.0,0.0,72.0,1
16.0,2014.0,2014-12-28,17.0,OAK,Away,DEN,L 14-47,Start,36.0,50.0,158.0,1.0,1.0,3.0,3.0,6.0,0.0,58.0,0
17.0,2015.0,2015-09-13,1.0,OAK,Home,CIN,L 13-33,Start,12.0,58.33,61.0,0.0,0.0,0.0,1.0,8.0,0.0,23.0,0
18.0,2015.0,2015-09-20,2.0,OAK,Home,BAL,W 37-33,Start,46.0,65.22,351.0,3.0,1.0,1.0,2.0,23.0,0.0,74.0,1
19.0,2015.0,2015-09-27,3.0,OAK,Away,CLE,W 27-20,Start,32.0,62.5,314.0,2.0,0.0,0.0,1.0,-1.0,0.0,68.0,1
20.0,2015.0,2015-10-04,4.0,OAK,Away,CHI,L 20-22,Start,33.0,60.61,196.0,2.0,1.0,2.0,1.0,0.0,0.0,58.0,0
21.0,2015.0,2015-10-11,5.0,OAK,Home,DEN,L 10-16,Start,39.0,66.67,249.0,1.0,1.0,4.0,1.0,-1.0,0.0,70.0,0
22.0,2015.0,2015-10-25,7.0,OAK,Away,SDG,W 37-29,Start,31.0,77.42,289.0,3.0,0.0,1.0,2.0,3.0,0.0,62.0,1
23.0,2015.0,2015-11-01,8.0,OAK,Home,NYJ,W 34-20,Start,36.0,63.89,333.0,4.0,0.0,0.0,2.0,-2.0,0.0,62.0,1
24.0,2015.0,2015-11-08,9.0,OAK,Away,PIT,L 35-38,Start,44.0,54.55,301.0,4.0,1.0,0.0,2.0,3.0,0.0,70.0,0
25.0,2015.0,2015-11-15,10.0,OAK,Home,MIN,L 14-30,Start,43.0,67.44,302.0,2.0,2.0,2.0,2.0,12.0,0.0,64.0,0
26.0,2015.0,2015-11-22,11.0,OAK,Away,DET,L 13-18,Start,25.0,52.0,169.0,0.0,0.0,1.0,1.0,8.0,0.0,51.0,0
