Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps,Class
13.0,2020.0,2020-12-13,14.0,PHI,Home,NOR,W 24-21,Start,30.0,56.67,167.0,1.0,0.0,0.0,18.0,106.0,0.0,69.0,1
14.0,2020.0,2020-12-20,15.0,PHI,Away,ARI,L 26-33,Start,44.0,54.55,338.0,3.0,0.0,6.0,11.0,63.0,1.0,83.0,0
15.0,2020.0,2020-12-27,16.0,PHI,Away,DAL,L 17-37,Start,39.0,53.85,342.0,1.0,2.0,3.0,9.0,69.0,0.0,73.0,0
16.0,2020.0,2021-01-03,17.0,PHI,Home,WAS,L 14-20,Start,20.0,35.0,72.0,0.0,1.0,1.0,8.0,34.0,2.0,50.0,0
17.0,2021.0,2021-09-12,1.0,PHI,Away,ATL,W 32-6,Start,35.0,77.14,264.0,3.0,0.0,1.0,7.0,62.0,0.0,71.0,1
18.0,2021.0,2021-09-19,2.0,PHI,Home,SFO,L 11-17,Start,23.0,52.17,190.0,0.0,0.0,2.0,10.0,82.0,1.0,58.0,0
19.0,2021.0,2021-09-27,3.0,PHI,Away,DAL,L 21-41,Start,39.0,64.1,326.0,2.0,2.0,2.0,9.0,35.0,0.0,58.0,0
20.0,2021.0,2021-10-03,4.0,PHI,Home,KAN,L 30-42,Start,48.0,66.67,387.0,2.0,0.0,3.0,8.0,47.0,0.0,74.0,0
21.0,2021.0,2021-10-10,5.0,PHI,Away,CAR,W 21-18,Start,37.0,59.46,198.0,0.0,1.0,2.0,9.0,30.0,2.0,67.0,1
22.0,2021.0,2021-10-14,6.0,PHI,Home,TAM,L 22-28,Start,26.0,46.15,115.0,1.0,1.0,2.0,10.0,44.0,2.0,52.0,0
23.0,2021.0,2021-10-24,7.0,PHI,Away,LVR,L 22-33,Start,34.0,52.94,236.0,2.0,0.0,2.0,13.0,61.0,0.0,69.0,0
24.0,2021.0,2021-10-31,8.0,PHI,Away,DET,W 44-6,Start,14.0,64.29,103.0,0.0,0.0,0.0,7.0,71.0,0.0,51.0,1
25.0,2021.0,2021-11-07,9.0,PHI,Home,LAC,L 24-27,Start,17.0,64.71,162.0,1.0,0.0,1.0,10.0,62.0,0.0,57.0,0
26.0,2021.0,2021-11-14,10.0,PHI,Away,DEN,W 30-13,Start,23.0,69.57,178.0,2.0,1.0,2.0,13.0,55.0,0.0,64.0,1
27.0,2021.0,2021-11-21,11.0,PHI,Home,NOR,W 40-29,Start,24.0,54.17,147.0,0.0,0.0,3.0,18.0,69.0,3.0,78.0,1
28.0,2021.0,2021-11-28,12.0,PHI,Away,NYG,L 7-13,Start,31.0,45.16,129.0,0.0,3.0,1.0,8.0,77.0,0.0,67.0,0
30.0,2021.0,2021-12-21,15.0,PHI,Home,WAS,W 27-17,Start,26.0,76.92,296.0,1.0,1.0,3.0,8.0,38.0,2.0,71.0,1
31.0,2021.0,2021-12-26,16.0,PHI,Home,NYG,W 34-10,Start,29.0,58.62,199.0,2.0,0.0,1.0,2.0,7.0,0.0,56.0,1
32.0,2021.0,2022-01-02,17.0,PHI,Away,WAS,W 20-16,Start,26.0,65.38,214.0,0.0,0.0,1.0,7.0,44.0,0.0,61.0,1
34.0,2022.0,2022-09-11,1.0,PHI,Away,DET,W 38-35,Start,32.0,56.25,243.0,0.0,0.0,1.0,17.0,90.0,1.0,77.0,1
35.0,2022.0,2022-09-19,2.0,PHI,Home,MIN,W 24-7,Start,31.0,83.87,333.0,1.0,1.0,3.0,11.0,57.0,2.0,73.0,1
36.0,2022.0,2022-09-25,3.0,PHI,Away,WAS,W 24-8,Start,35.0,62.86,340.0,3.0,0.0,3.0,9.0,20.0,0.0,70.0,1
37.0,2022.0,2022-10-02,4.0,PHI,Home,JAX,W 29-21,Start,25.0,64.0,204.0,0.0,1.0,2.0,16.0,38.0,1.0,82.0,1
38.0,2022.0,2022-10-09,5.0,PHI,Away,ARI,W 20-17,Start,36.0,72.22,239.0,0.0,0.0,2.0,15.0,61.0,2.0,73.0,1
39.0,2022.0,2022-10-16,6.0,PHI,Home,DAL,W 26-17,Start,25.0,60.0,155.0,2.0,0.0,4.0,9.0,27.0,0.0,71.0,1
40.0,2022.0,2022-10-30,8.0,PHI,Home,PIT,W 35-13,Start,28.0,67.86,285.0,4.0,0.0,3.0,2.0,10.0,0.0,46.0,1
41.0,2022.0,2022-11-03,9.0,PHI,Away,HOU,W 29-17,Start,27.0,77.78,243.0,2.0,0.0,4.0,9.0,23.0,0.0,65.0,1
42.0,2022.0,2022-11-14,10.0,PHI,Home,WAS,L 21-32,Start,26.0,65.38,175.0,2.0,1.0,1.0,6.0,28.0,1.0,50.0,0
