Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps
1.0,2017.0,2017-09-07,1.0,KAN,Away,NWE,W 42-27,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
2.0,2017.0,2017-09-17,2.0,KAN,Home,PHI,W 27-20,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
3.0,2017.0,2017-09-24,3.0,KAN,Away,LAC,W 24-10,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
4.0,2017.0,2017-10-02,4.0,KAN,Home,WAS,W 29-20,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
5.0,2017.0,2017-10-08,5.0,KAN,Away,HOU,W 42-34,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
6.0,2017.0,2017-10-15,6.0,KAN,Home,PIT,L 13-19,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
7.0,2017.0,2017-10-19,7.0,KAN,Away,OAK,L 30-31,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
8.0,2017.0,2017-10-30,8.0,KAN,Home,DEN,W 29-19,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
9.0,2017.0,2017-11-05,9.0,KAN,Away,DAL,L 17-28,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
10.0,2017.0,2017-11-19,11.0,KAN,Away,NYG,L 9-12,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
11.0,2017.0,2017-11-26,12.0,KAN,Home,BUF,L 10-16,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
12.0,2017.0,2017-12-03,13.0,KAN,Away,NYJ,L 31-38,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
13.0,2017.0,2017-12-10,14.0,KAN,Home,OAK,W 26-15,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
14.0,2017.0,2017-12-16,15.0,KAN,Home,LAC,W 30-13,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
15.0,2017.0,2017-12-24,16.0,KAN,Home,MIA,W 29-13,Did Not Play,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
16.0,2017.0,2017-12-31,17.0,KAN,Away,DEN,W 27-24,Start,35.0,62.86,284.0,0.0,1.0,2.0,7.0,10.0,0.0,62.0
17.0,2018.0,2018-09-09,1.0,KAN,Away,LAC,W 38-28,Start,27.0,55.56,256.0,4.0,0.0,1.0,5.0,21.0,0.0,56.0
18.0,2018.0,2018-09-16,2.0,KAN,Away,PIT,W 42-37,Start,28.0,82.14,326.0,6.0,0.0,1.0,5.0,18.0,0.0,58.0
19.0,2018.0,2018-09-23,3.0,KAN,Home,SFO,W 38-27,Start,38.0,63.16,314.0,3.0,0.0,2.0,5.0,7.0,0.0,75.0
20.0,2018.0,2018-10-01,4.0,KAN,Away,DEN,W 27-23,Start,45.0,62.22,304.0,1.0,0.0,1.0,3.0,7.0,1.0,78.0
21.0,2018.0,2018-10-07,5.0,KAN,Home,JAX,W 30-14,Start,38.0,57.89,313.0,0.0,2.0,1.0,4.0,13.0,1.0,70.0
22.0,2018.0,2018-10-14,6.0,KAN,Away,NWE,L 40-43,Start,36.0,63.89,352.0,4.0,2.0,0.0,2.0,9.0,0.0,54.0
23.0,2018.0,2018-10-21,7.0,KAN,Home,CIN,W 45-10,Start,39.0,71.79,358.0,4.0,1.0,2.0,4.0,45.0,0.0,70.0
24.0,2018.0,2018-10-28,8.0,KAN,Home,DEN,W 30-23,Start,34.0,70.59,303.0,4.0,1.0,2.0,2.0,-1.0,0.0,58.0
25.0,2018.0,2018-11-04,9.0,KAN,Away,CLE,W 37-21,Start,32.0,71.88,375.0,3.0,1.0,2.0,2.0,18.0,0.0,63.0
26.0,2018.0,2018-11-11,10.0,KAN,Home,ARI,W 26-14,Start,28.0,75.0,249.0,2.0,0.0,5.0,4.0,21.0,0.0,59.0
27.0,2018.0,2018-11-19,11.0,KAN,Away,LAR,L 51-54,Start,46.0,71.74,478.0,6.0,3.0,3.0,6.0,28.0,0.0,72.0
28.0,2018.0,2018-12-02,13.0,KAN,Away,OAK,W 40-33,Start,38.0,60.53,295.0,4.0,0.0,0.0,9.0,52.0,0.0,71.0
29.0,2018.0,2018-12-09,14.0,KAN,Home,BAL,W 27-24,Start,53.0,66.04,377.0,2.0,1.0,3.0,2.0,-3.0,0.0,86.0
30.0,2018.0,2018-12-13,15.0,KAN,Home,LAC,L 28-29,Start,34.0,70.59,243.0,2.0,0.0,2.0,2.0,3.0,0.0,60.0
31.0,2018.0,2018-12-23,16.0,KAN,Away,SEA,L 31-38,Start,40.0,57.5,273.0,3.0,0.0,1.0,3.0,33.0,0.0,61.0
32.0,2018.0,2018-12-30,17.0,KAN,Home,OAK,W 35-3,Start,24.0,58.33,281.0,2.0,1.0,0.0,2.0,1.0,0.0,41.0
33.0,2019.0,2019-09-08,1.0,KAN,Away,JAX,W 40-26,Start,33.0,75.76,378.0,3.0,0.0,0.0,1.0,2.0,0.0,59.0
34.0,2019.0,2019-09-15,2.0,KAN,Away,OAK,W 28-10,Start,44.0,68.18,443.0,4.0,0.0,2.0,1.0,-1.0,0.0,75.0
35.0,2019.0,2019-09-22,3.0,KAN,Home,BAL,W 33-28,Start,37.0,72.97,374.0,3.0,0.0,1.0,4.0,9.0,0.0,68.0
36.0,2019.0,2019-09-29,4.0,KAN,Away,DET,W 34-30,Start,42.0,57.14,315.0,0.0,0.0,0.0,6.0,54.0,0.0,68.0
37.0,2019.0,2019-10-06,5.0,KAN,Home,IND,L 13-19,Start,39.0,56.41,321.0,1.0,0.0,4.0,3.0,17.0,0.0,61.0
38.0,2019.0,2019-10-13,6.0,KAN,Home,HOU,L 24-31,Start,35.0,54.29,273.0,3.0,1.0,1.0,1.0,-1.0,0.0,55.0
39.0,2019.0,2019-10-17,7.0,KAN,Away,DEN,W 30-6,Start,11.0,90.91,76.0,1.0,0.0,0.0,1.0,2.0,0.0,20.0
40.0,2019.0,2019-10-27,8.0,KAN,Home,GNB,L 24-31,Inactive,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
41.0,2019.0,2019-11-03,9.0,KAN,Home,MIN,W 26-23,Inactive,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
42.0,2019.0,2019-11-10,10.0,KAN,Away,TEN,L 32-35,Start,50.0,72.0,446.0,3.0,0.0,2.0,0.0,0.0,0.0,82.0
43.0,2019.0,2019-11-18,11.0,KAN,Away,LAC,W 24-17,Start,32.0,59.38,182.0,1.0,1.0,1.0,5.0,59.0,0.0,67.0
44.0,2019.0,2019-12-01,13.0,KAN,Home,OAK,W 40-9,Start,29.0,51.72,175.0,1.0,0.0,1.0,3.0,25.0,1.0,64.0
45.0,2019.0,2019-12-08,14.0,KAN,Away,NWE,W 23-16,Start,40.0,65.0,283.0,1.0,1.0,1.0,6.0,6.0,0.0,77.0
46.0,2019.0,2019-12-15,15.0,KAN,Home,DEN,W 23-3,Start,34.0,79.41,340.0,2.0,1.0,3.0,3.0,11.0,0.0,68.0
47.0,2019.0,2019-12-22,16.0,KAN,Away,CHI,W 26-3,Start,33.0,69.7,251.0,2.0,0.0,1.0,2.0,14.0,1.0,65.0
48.0,2019.0,2019-12-29,17.0,KAN,Home,LAC,W 31-21,Start,25.0,64.0,174.0,1.0,1.0,0.0,7.0,21.0,0.0,51.0
49.0,2020.0,2020-09-10,1.0,KAN,Home,HOU,W 34-20,Start,32.0,75.0,211.0,3.0,0.0,1.0,0.0,0.0,0.0,69.0
50.0,2020.0,2020-09-20,2.0,KAN,Away,LAC,W 23-20,Start,47.0,57.45,302.0,2.0,0.0,1.0,6.0,54.0,0.0,77.0
51.0,2020.0,2020-09-28,3.0,KAN,Away,BAL,W 34-20,Start,42.0,73.81,385.0,4.0,0.0,0.0,4.0,26.0,1.0,75.0
52.0,2020.0,2020-10-05,4.0,KAN,Home,NWE,W 26-10,Start,29.0,65.52,236.0,2.0,0.0,1.0,8.0,28.0,0.0,56.0
53.0,2020.0,2020-10-11,5.0,KAN,Home,LVR,L 32-40,Start,43.0,51.16,340.0,2.0,1.0,3.0,6.0,21.0,1.0,72.0
54.0,2020.0,2020-10-19,6.0,KAN,Away,BUF,W 26-17,Start,26.0,80.77,225.0,2.0,0.0,1.0,10.0,36.0,0.0,73.0
55.0,2020.0,2020-10-25,7.0,KAN,Away,DEN,W 43-16,Start,23.0,65.22,200.0,1.0,0.0,3.0,0.0,0.0,0.0,41.0
56.0,2020.0,2020-11-01,8.0,KAN,Home,NYJ,W 35-9,Start,42.0,73.81,416.0,5.0,0.0,0.0,0.0,0.0,0.0,54.0
57.0,2020.0,2020-11-08,9.0,KAN,Home,CAR,W 33-31,Start,45.0,66.67,372.0,4.0,0.0,2.0,1.0,6.0,0.0,62.0
58.0,2020.0,2020-11-22,11.0,KAN,Away,LVR,W 35-31,Start,45.0,75.56,348.0,2.0,1.0,0.0,4.0,16.0,0.0,78.0
59.0,2020.0,2020-11-29,12.0,KAN,Away,TAM,W 27-24,Start,49.0,75.51,462.0,3.0,0.0,2.0,4.0,28.0,0.0,79.0
60.0,2020.0,2020-12-06,13.0,KAN,Home,DEN,W 22-16,Start,40.0,62.5,318.0,1.0,0.0,1.0,4.0,26.0,0.0,64.0
61.0,2020.0,2020-12-13,14.0,KAN,Away,MIA,W 33-27,Start,34.0,70.59,393.0,2.0,3.0,3.0,5.0,9.0,0.0,62.0
62.0,2020.0,2020-12-20,15.0,KAN,Away,NOR,W 32-29,Start,47.0,55.32,254.0,3.0,0.0,4.0,7.0,37.0,0.0,98.0
63.0,2020.0,2020-12-27,16.0,KAN,Home,ATL,W 17-14,Start,44.0,54.55,278.0,2.0,1.0,0.0,3.0,21.0,0.0,67.0
64.0,2020.0,2021-01-03,17.0,KAN,Home,LAC,L 21-38,Inactive,37.358695652173914,66.87989130434782,297.4782608695652,2.3260869565217392,0.6413043478260869,1.5,3.869565217391304,20.41304347826087,0.13043478260869565,66.15217391304348
65.0,2021.0,2021-09-12,1.0,KAN,Home,CLE,W 33-29,Start,36.0,75.0,337.0,3.0,0.0,2.0,5.0,18.0,1.0,65.0
66.0,2021.0,2021-09-19,2.0,KAN,Away,BAL,L 35-36,Start,31.0,77.42,343.0,3.0,1.0,0.0,1.0,3.0,0.0,51.0
67.0,2021.0,2021-09-26,3.0,KAN,Home,LAC,L 24-30,Start,44.0,61.36,260.0,3.0,2.0,2.0,4.0,45.0,0.0,79.0
68.0,2021.0,2021-10-03,4.0,KAN,Away,PHI,W 42-30,Start,30.0,80.0,278.0,5.0,1.0,1.0,5.0,26.0,0.0,67.0
69.0,2021.0,2021-10-10,5.0,KAN,Home,BUF,L 20-38,Start,54.0,61.11,272.0,2.0,2.0,2.0,8.0,61.0,0.0,86.0
70.0,2021.0,2021-10-17,6.0,KAN,Away,WAS,W 31-13,Start,47.0,68.09,397.0,2.0,2.0,3.0,3.0,31.0,0.0,82.0
71.0,2021.0,2021-10-24,7.0,KAN,Away,TEN,L 3-27,Start,35.0,57.14,206.0,0.0,1.0,4.0,6.0,35.0,0.0,54.0
72.0,2021.0,2021-11-01,8.0,KAN,Home,NYG,W 20-17,Start,48.0,60.42,275.0,1.0,1.0,2.0,3.0,10.0,0.0,81.0
73.0,2021.0,2021-11-07,9.0,KAN,Home,GNB,W 13-7,Start,37.0,54.05,166.0,1.0,0.0,1.0,2.0,-2.0,0.0,65.0
74.0,2021.0,2021-11-14,10.0,KAN,Away,LVR,W 41-14,Start,50.0,70.0,406.0,5.0,0.0,0.0,0.0,0.0,0.0,73.0
75.0,2021.0,2021-11-21,11.0,KAN,Home,DAL,W 19-9,Start,37.0,62.16,260.0,0.0,1.0,3.0,7.0,11.0,0.0,68.0
76.0,2021.0,2021-12-05,13.0,KAN,Home,DEN,W 22-9,Start,29.0,51.72,184.0,0.0,1.0,1.0,4.0,12.0,1.0,57.0
